frame,t_sec,x_center,y_center,w,h,ok,speed_pix_per_s
428,7.1405,3753.500,1715.000,47.000,28.000,1,809.746
429,7.1572,3766.500,1714.000,47.000,28.000,1,781.523
430,7.1738,3779.500,1714.000,47.000,28.000,1,779.221
431,7.1905,3792.500,1714.000,47.000,28.000,1,779.221
432,7.2072,3804.500,1713.000,47.000,28.000,1,721.774
433,7.2239,3817.000,1713.000,46.000,28.000,1,749.251
434,7.2406,3830.000,1713.000,46.000,28.000,1,779.221
435,7.2572,3843.000,1712.500,48.000,29.000,1,779.797
436,7.2739,3855.500,1712.000,47.000,28.000,1,749.850
437,7.2906,3867.500,1712.000,49.000,30.000,1,719.281
438,7.3073,3879.000,1711.000,46.000,28.000,1,691.912
439,7.3240,3892.000,1710.500,48.000,29.000,1,779.797
440,7.3407,3904.500,1711.000,49.000,30.000,1,749.850
441,7.3574,3915.500,1709.000,47.000,28.000,1,670.150
442,7.3740,3927.000,1709.000,46.000,28.000,1,689.311
443,7.3907,3940.000,1709.000,46.000,28.000,1,779.221
444,7.4074,3952.000,1708.500,48.000,29.000,1,719.905
445,7.4241,3963.000,1708.000,50.000,30.000,1,660.021
446,7.4408,3974.500,1708.000,49.000,30.000,1,689.311
447,7.4574,3985.000,1707.500,48.000,29.000,1,630.084
448,7.4741,3997.000,1707.000,46.000,28.000,1,719.905
449,7.4908,4008.500,1707.000,47.000,28.000,1,689.311
450,7.5075,4019.000,1706.000,46.000,28.000,1,632.218
