frame,t_sec,x_center,y_center,w,h,ok,speed_pix_per_s
334,5.5722,1716.000,1697.500,54.000,29.000,1,539.461
335,5.5889,1725.000,1698.500,54.000,29.000,1,542.780
336,5.6056,1734.000,1698.500,54.000,29.000,1,539.461
337,5.6223,1744.000,1698.500,54.000,29.000,1,599.401
338,5.6390,1753.000,1699.500,54.000,29.000,1,542.780
339,5.6557,1761.000,1699.500,54.000,29.000,1,479.520
340,5.6723,1771.000,1699.500,54.000,29.000,1,599.401
341,5.6890,1780.000,1700.500,54.000,29.000,1,542.780
342,5.7057,1789.000,1700.500,54.000,29.000,1,539.461
343,5.7224,1798.000,1700.500,54.000,29.000,1,539.461
344,5.7391,1808.000,1700.500,54.000,29.000,1,599.401
345,5.7557,1816.000,1701.500,54.000,29.000,1,483.252
346,5.7724,1825.000,1701.500,54.000,29.000,1,539.461
347,5.7891,1834.000,1701.500,54.000,29.000,1,539.461
348,5.8058,1843.000,1702.500,54.000,29.000,1,542.780
349,5.8225,1852.000,1702.500,54.000,29.000,1,539.461
350,5.8392,1861.000,1703.500,54.000,29.000,1,542.780
351,5.8559,1870.000,1703.500,54.000,29.000,1,539.461
352,5.8725,1879.000,1703.500,54.000,29.000,1,539.461
353,5.8892,1888.000,1703.500,54.000,29.000,1,539.461
354,5.9059,1897.000,1703.500,54.000,29.000,1,539.461
355,5.9226,1906.000,1704.500,54.000,29.000,1,542.780
356,5.9393,1915.000,1704.500,54.000,29.000,1,539.461
357,5.9560,1924.000,1704.500,54.000,29.000,1,539.461
358,5.9726,1932.000,1704.500,54.000,29.000,1,479.520
359,5.9893,1942.000,1705.500,54.000,29.000,1,602.390
360,6.0060,1951.000,1705.500,54.000,29.000,1,539.461
361,6.0227,1961.000,1705.500,54.000,29.000,1,599.401
362,6.0394,1970.000,1705.500,54.000,29.000,1,539.461
363,6.0560,1978.000,1705.500,54.000,29.000,1,479.520
364,6.0727,1987.000,1706.500,54.000,29.000,1,542.780
365,6.0894,1996.000,1706.500,54.000,29.000,1,539.461
366,6.1061,2005.000,1706.500,54.000,29.000,1,539.461
367,6.1228,2014.000,1707.500,54.000,29.000,1,542.780
368,6.1395,2023.000,1707.500,54.000,29.000,1,539.461
369,6.1562,2031.000,1707.500,54.000,29.000,1,479.520
370,6.1728,2041.000,1707.500,54.000,29.000,1,599.401
371,6.1895,2049.000,1707.500,54.000,29.000,1,479.520
372,6.2062,2058.000,1707.500,54.000,29.000,1,539.461
373,6.2229,2066.000,1707.500,54.000,29.000,1,479.520
374,6.2396,2075.000,1708.500,54.000,29.000,1,542.780
375,6.2563,2084.000,1708.500,54.000,29.000,1,539.461
376,6.2729,2092.000,1708.500,54.000,29.000,1,479.520
377,6.2896,2101.000,1708.500,54.000,29.000,1,539.461
378,6.3063,2110.000,1709.500,54.000,29.000,1,542.780
379,6.3230,2118.000,1709.500,54.000,29.000,1,479.520
380,6.3397,2126.000,1709.500,54.000,29.000,1,479.520
381,6.3563,2135.000,1710.500,54.000,29.000,1,542.780
382,6.3730,2143.000,1710.500,54.000,29.000,1,479.520
383,6.3897,2152.000,1710.500,54.000,29.000,1,539.461
384,6.4064,2161.000,1710.500,54.000,29.000,1,539.461
385,6.4231,2169.000,1710.500,54.000,29.000,1,479.520
